parameter,shape,numel,policy,matched_rule,reason
model.condition_encoder.model.blocks.0.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.0.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.1.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.2.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.3.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.4.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.5.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.6.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.7.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.8.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.9.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.10.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.norm1.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.norm1.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.attn.qkv.weight,"[2304, 768]",1769472,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.attn.qkv.bias,[2304],2304,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.attn.proj.weight,"[768, 768]",589824,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.attn.proj.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.ls1.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.norm2.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.norm2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.mlp.fc1.weight,"[3072, 768]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.mlp.fc1.bias,[3072],3072,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.mlp.fc2.weight,"[768, 3072]",2359296,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.mlp.fc2.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.blocks.11.ls2.gamma,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.norm.weight,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.condition_encoder.model.norm.bias,[768],768,freeze,model.condition_encoder,DINO condition encoder; expensive and not codec-specific for first fine-tune smoke.
model.gs_dynamic_predictor.gs_layer.xyz_dynamic_scale.weight,"[3, 384]",1152,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.xyz_dynamic.layers.1.weight,"[192, 384]",73728,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.xyz_dynamic.layers.1.bias,[192],192,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.xyz_dynamic.layers.4.weight,"[192, 192]",36864,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.xyz_dynamic.layers.4.bias,[192],192,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.xyz_dynamic.layers.7.weight,"[3, 192]",576,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.xyz_dynamic.layers.7.bias,[3],3,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.opacity_dynamic.layers.1.weight,"[192, 384]",73728,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.opacity_dynamic.layers.1.bias,[192],192,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.opacity_dynamic.layers.4.weight,"[192, 192]",36864,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.opacity_dynamic.layers.4.bias,[192],192,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.opacity_dynamic.layers.7.weight,"[2, 192]",384,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.gs_dynamic_predictor.gs_layer.opacity_dynamic.layers.7.bias,[2],2,train,model.gs_dynamic_predictor,Predicts dynamic xyz / opacity terms; primary target for sparse-keyframe motion adaptation.
model.encoder_proj.weight,"[192, 192]",36864,train,model.encoder_proj,Small projection before dynamic Gaussian predictor; keep trainable with dynamic path.
